artist_id,artist_name,artist_location,artist_latitude,artist_longitude
ARMJAGH1187FB546F3,The Box Tops,"Memphis, TN",35.14968,-90.04892
ARD842G1187B997376,Blue Rodeo,"Toronto, Ontario, Canada",43.64856,-79.38533
ARIG6O41187B988BDD,Richard Souther,United States,37.16793,-95.84502
ARQGYP71187FB44566,Jimmy Wakely,"Mineola, AR",34.31109,-94.02978
AR5KOSW1187FB35FF4,Elena,Dubai UAE,49.80388,15.47491
ARMAC4T1187FB3FA4C,The Dillinger Escape Plan,"Morris Plains, NJ",40.82624,-74.47995
AR47JEX1187B995D81,SUE THOMPSON,"Nevada, MO",37.83721,-94.35868
ARDNS031187B9924F0,Tim Wilson,Georgia,32.67828,-83.22295
AROUOZZ1187B9ABE51,Willie Bobo,"New York, NY [Spanish Harlem]",40.79195,-73.94512
ARH4Z031187B9A71F2,Faye Adams,"Newark, NJ",40.73197,-74.17418
ARB29H41187B98F0EF,Terry Callier,Chicago,41.88415,-87.63241
AR1Y2PT1187FB5B9CE,John Wesley,Brandon,27.94017,-82.32547
AR3JMC51187B9AE49D,Backstreet Boys,"Orlando, FL",28.53823,-81.37739
ARPBNLO1187FB3D52F,Tiny Tim,"New York, NY",40.71455,-74.00712
ARMBR4Y1187B9990EB,David Martin,California - SF,37.77916,-122.42005
ARQ9BO41187FB5CF1F,John Davis,Pennsylvania,40.99471,-77.60454
ARKULSX1187FB45F84,Trafik,Utah,39.49974,-111.54732
ARI2JSK1187FB496EF,Nick Ingman;Gavyn Wright,"London, England",51.50632,-0.12714
ARBGXIG122988F409D,Steel Rain,California - SF,37.77916,-122.42005
ARGCY1Y1187B9A4FA5,Gloriana,"Nashville, TN.",36.16778,-86.77836
AR36F9J1187FB406F1,Bombay Rockers,Denmark,56.27609,9.51695
ARNNKDK1187B98BBD5,Jinx,Zagreb Croatia,45.80726,15.9676
AR0IAWL1187B9A96D0,Danilo Perez,Panama,8.4177,-80.11278
ARLTWXK1187FB5A3F8,King Curtis,"Fort Worth, TX",32.74863,-97.32925
ARNF6401187FB57032,Sophie B. Hawkins,"New York, NY [Manhattan]",40.79086,-73.96644
ARPFHN61187FB575F6,Lupe Fiasco,"Chicago, IL",41.88415,-87.63241
